id,GMSTP,SRSTR,PLHTN,HER
EMF2000298500,26.65,5.78,301.35,0.37
EMF2100289378,28.07,5.23,311.34,0.37
EMF2000298464,27.25,6.19,290.81,0.38
EMF2100239069,25.56,5.13,309.89,0.37
EMF2100289726,28.86,5.23,311.34,0.36
EMF2100289804,27.07,5.49,302.12,0.37
EMF2200588960,29.73,5.88,302.73,0.41
EMF2100289657,28.21,5.86,293.23,0.38
EMF2100247271,26.24,6.15,303.48,0.39
EMF2100289674,27.82,5.94,295.62,0.35
EMF2100247166,27.82,5.64,284.34,0.41
EMF2100289406,28.2,6.01,313.69,0.42
EMF2200588432,28.29,5.41,301.6,0.36
EMF2100289855,27.53,6.46,305.17,0.36
EMF2100289629,27.82,6.31,288.14,0.35
EMF2100288852,26.31,4.83,295.45,0.33
EMF2201896522,27.66,5.8,280.16,0.37
EMF2100770689,29.29,5.58,301.26,0.38
EMF2200460548,27.85,5.35,292.2,0.41
EMF2200460750,29.86,5.29,292.31,0.38
EMF2100770693,27.7,5.56,302.17,0.37
EMF2200589119,26.19,5.22,293.48,0.38
EMF2200590595,28.56,5.43,301.67,0.37
EMF2201896506,28.28,5.36,299.15,0.38
EMF2100770121,28.44,5.56,289.07,0.39
EMF2100767523,28.78,6.07,276.78,0.36
EMF2201896606,28.79,5.32,303.07,0.38
EMF2200587535,26.61,6.39,309.93,0.38
EMF2200590005,26,5.02,314.47,0.39
EMF2200588768,30.55,5.02,291.54,0.39
EMF2200589891,27.31,5.02,298.09,0.35
EMF2200591085,25.95,5.8,310.54,0.38
EMF2200590403,25.18,6.39,311.9,0.34
EMF2200590921,26.83,5.25,297.08,0.37
EMF2200587529,27.16,6.59,290.89,0.4
EMF2200588312,25.7,4.83,300.11,0.41
EMF2200589762,27.91,5.8,302.68,0.39
EMF2200591430,27.25,5.8,306.61,0.36
EMF2200591427,26.85,5.02,315.78,0.37
EMF2200589571,26.42,5.23,295.36,0.37
EMF2200587127,29.08,5.02,298.09,0.38
EMF2200591335,29.01,5.61,294.21,0.38
